ID,Subject,Grade,Credits
21031A0101,MATHEMATICS-II,ABSENT,0
21031A0101,ENGINEERING CHEMISTRY,ABSENT,0
21031A0101,ENGINEERING MECHANICS,ABSENT,0
21031A0102,MATHEMATICS-II,E,3
21031A0102,ENGINEERING CHEMISTRY,F,0
21031A0102,ENGINEERING MECHANICS,ABSENT,0
21031A0105,MATHEMATICS-II,F,0
21031A0105,ENGINEERING CHEMISTRY,F,0
21031A0105,ENGINEERING MECHANICS,F,0
21031A0106,ENGINEERING CHEMISTRY,ABSENT,0
21031A0106,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
21031A0107,MATHEMATICS-II,D,3
21031A0107,ENGINEERING CHEMISTRY,F,0
21031A0107,ENGINEERING MECHANICS,D,3
21031A0107,BUILDING MATERIALS AND CONCRETE TECHNOLO,ABSENT,0
21031A0108,ENGINEERING CHEMISTRY,F,0
21031A0108,ENGINEERING MECHANICS,E,3
21031A0109,MATHEMATICS-II,D,3
21031A0109,ENGINEERING CHEMISTRY,F,0
21031A0110,MATHEMATICS-II,D,3
21031A0110,ENGINEERING CHEMISTRY,F,0
21031A0110,ENGINEERING MECHANICS,E,3
21031A0110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
21031A0112,ENGINEERING CHEMISTRY,F,0
21031A0112,ENGINEERING MECHANICS,E,3
21031A0113,MATHEMATICS-II,F,0
21031A0113,ENGINEERING CHEMISTRY,F,0
21031A0116,MATHEMATICS-II,F,0
21031A0116,ENGINEERING CHEMISTRY,F,0
21031A0116,ENGINEERING MECHANICS,E,3
21031A0116,BUILDING MATERIALS AND CONCRETE TECHNOLO,E,3
21031A0117,ENGINEERING CHEMISTRY,F,0
21031A0118,ENGINEERING CHEMISTRY,D,3
21031A0118,ENGINEERING MECHANICS,D,3
21031A0118,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0119,MATHEMATICS-II,E,3
21031A0119,ENGINEERING CHEMISTRY,ABSENT,0
21031A0119,ENGINEERING MECHANICS,F,0
21031A0119,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0119,BUILDING MATERIALS AND CONCRETE TECHNOLO,D,3
21031A0120,MATHEMATICS-II,F,0
21031A0120,ENGINEERING CHEMISTRY,F,0
21031A0120,ENGINEERING MECHANICS,E,3
21031A0122,ENGINEERING CHEMISTRY,F,0
21031A0123,MATHEMATICS-II,E,3
21031A0123,ENGINEERING CHEMISTRY,F,0
21031A0125,MATHEMATICS-II,E,3
21031A0125,ENGINEERING CHEMISTRY,F,0
21031A0125,ENGINEERING MECHANICS,F,0
21031A0125,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0125,BUILDING MATERIALS AND CONCRETE TECHNOLO,E,3
21031A0127,MATHEMATICS-II,D,3
21031A0128,MATHEMATICS-II,F,0
21031A0128,ENGINEERING CHEMISTRY,ABSENT,0
21031A0128,ENGINEERING MECHANICS,ABSENT,0
21031A0128,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
21031A0129,MATHEMATICS-II,D,3
21031A0129,ENGINEERING CHEMISTRY,ABSENT,0
21031A0129,ENGINEERING MECHANICS,F,0
21031A0129,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0129,BUILDING MATERIALS AND CONCRETE TECHNOLO,ABSENT,0
21031A0130,ENGINEERING CHEMISTRY,D,3
21031A0131,MATHEMATICS-II,F,0
21031A0131,ENGINEERING CHEMISTRY,F,0
21031A0131,ENGINEERING MECHANICS,E,3
21031A0131,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0132,ENGINEERING CHEMISTRY,E,3
21031A0132,ENGINEERING MECHANICS,D,3
21031A0133,MATHEMATICS-II,E,3
21031A0133,ENGINEERING CHEMISTRY,F,0
21031A0134,ENGINEERING CHEMISTRY,F,0
21031A0134,ENGINEERING MECHANICS,F,0
21031A0134,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0135,MATHEMATICS-II,E,3
21031A0135,ENGINEERING CHEMISTRY,E,3
21031A0136,MATHEMATICS-II,F,0
21031A0136,ENGINEERING CHEMISTRY,F,0
21031A0136,ENGINEERING MECHANICS,E,3
21031A0137,MATHEMATICS-II,F,0
21031A0137,ENGINEERING CHEMISTRY,F,0
21031A0138,MATHEMATICS-II,F,0
21031A0138,ENGINEERING CHEMISTRY,F,0
21031A0138,ENGINEERING MECHANICS,ABSENT,0
21031A0138,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
21031A0138,BUILDING MATERIALS AND CONCRETE TECHNOLO,ABSENT,0
21031A0139,ENGINEERING CHEMISTRY,ABSENT,0
21031A0201,APPLIED PHYSICS,D,3
21031A0201,ELECTRICAL CIRCUIT ANALYSIS-I,E,3
21031A0202,MATHEMATICS-III,F,0
21031A0202,APPLIED PHYSICS,F,0
21031A0203,MATHEMATICS-III,F,0
21031A0203,APPLIED PHYSICS,D,3
21031A0203,DATA STRUCTURES THROUGH C,F,0
21031A0204,MATHEMATICS-III,F,0
21031A0204,DATA STRUCTURES THROUGH C,D,3
21031A0207,MATHEMATICS-III,F,0
21031A0209,MATHEMATICS-III,F,0
21031A0209,APPLIED PHYSICS,D,3
21031A0209,DATA STRUCTURES THROUGH C,E,3
21031A0209,ELECTRICAL CIRCUIT ANALYSIS-I,E,3
21031A0210,MATHEMATICS-III,F,0
21031A0212,APPLIED PHYSICS,F,0
21031A0213,MATHEMATICS-III,D,3
21031A0213,DATA STRUCTURES THROUGH C,D,3
21031A0214,APPLIED PHYSICS,C,3
21031A0215,APPLIED PHYSICS,F,0
21031A0216,MATHEMATICS-III,F,0
21031A0216,APPLIED PHYSICS,F,0
21031A0217,MATHEMATICS-III,F,0
21031A0217,APPLIED PHYSICS,F,0
21031A0217,DATA STRUCTURES THROUGH C,D,3
21031A0217,ELECTRICAL CIRCUIT ANALYSIS-I,ABSENT,0
21031A0218,MATHEMATICS-III,D,3
21031A0218,APPLIED PHYSICS,D,3
21031A0219,MATHEMATICS-III,F,0
21031A0220,MATHEMATICS-III,F,0
21031A0220,APPLIED PHYSICS,F,0
21031A0220,DATA STRUCTURES THROUGH C,E,3
21031A0220,ELECTRICAL CIRCUIT ANALYSIS-I,ABSENT,0
21031A0221,MATHEMATICS-III,F,0
21031A0221,ELECTRICAL CIRCUIT ANALYSIS-I,F,0
21031A0222,APPLIED PHYSICS,ABSENT,0
21031A0223,MATHEMATICS-III,D,3
21031A0225,MATHEMATICS-III,E,3
21031A0225,APPLIED PHYSICS,D,3
21031A0226,MATHEMATICS-III,D,3
21031A0226,APPLIED PHYSICS,D,3
21031A0227,MATHEMATICS-III,F,0
21031A0229,MATHEMATICS-III,F,0
21031A0233,MATHEMATICS-III,D,3
21031A0233,DATA STRUCTURES THROUGH C,C,3
