ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,ABSENT,0
21031A0101,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,ABSENT,0
21031A0101,R2022014,ENVIRONMENTAL ENGINEERING,ABSENT,0
21031A0105,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0
21031A0116,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,E,3
21031A0116,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,F,0
21031A0119,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,ABSENT,0
21031A0119,R2022012,STRENGTH OF MATERIALS-II,ABSENT,0
21031A0119,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,ABSENT,0
21031A0320,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,ABSENT,0
21031A0320,R2022033,THERMAL ENGINEERING-I,F,0
21031A0321,R2022032,DYNAMICS OF MACHINERY,ABSENT,0
21031A0321,R2022033,THERMAL ENGINEERING-I,ABSENT,0
21031A0324,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0
21031A0325,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,ABSENT,0
21031A0325,R2022032,DYNAMICS OF MACHINERY,ABSENT,0
21031A0325,R2022033,THERMAL ENGINEERING-I,ABSENT,0
21031A0326,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0
21031A0401,R2022043,ANALOG COMMUNICATIONS,D,3
21031A0433,R2022043,ANALOG COMMUNICATIONS,D,3
21031A0433,R2022044,LINEAR CONTROL SYSTEMS,E,3
21031A0439,R2022044,LINEAR CONTROL SYSTEMS,E,3
21031A0458,R2022044,LINEAR CONTROL SYSTEMS,F,0
21031A0501,R2022051,PROBABILITY AND STATISTICS,F,0
21031A0542,R2022051,PROBABILITY AND STATISTICS,ABSENT,0
21031A0542,R2022054,JAVA PROGRAMMING,F,0
21031A0562,R2022054,JAVA PROGRAMMING,F,0
