ID,SGPA_3,Credits_3
21031A0101,0.0,22.5
21031A0102,6.94,25.5
21031A0103,8.24,25.5
21031A0104,8.0,25.5
21031A0105,0.0,22.5
21031A0106,7.76,25.5
21031A0107,6.82,25.5
21031A0108,0.0,22.5
21031A0109,6.92,25.5
21031A0110,6.67,25.5
21031A0111,6.73,25.5
21031A0112,6.53,25.5
21031A0113,7.1,25.5
21031A0114,7.82,25.5
21031A0115,6.78,25.5
21031A0116,0.0,19.5
21031A0117,6.88,25.5
21031A0118,6.94,25.5
21031A0119,0.0,22.5
21031A0120,0.0,22.5
21031A0121,7.73,25.5
21031A0122,7.24,25.5
21031A0123,6.9,25.5
21031A0124,7.76,25.5
21031A0125,0.0,12.0
21031A0126,7.39,25.5
21031A0127,6.94,25.5
21031A0128,0.0,10.5
21031A0129,7.12,25.5
21031A0130,7.75,25.5
21031A0131,0.0,22.5
21031A0132,6.59,25.5
21031A0133,7.51,25.5
21031A0134,0.0,22.5
21031A0135,6.88,25.5
21031A0136,6.29,25.5
21031A0137,6.88,25.5
21031A0138,7.29,25.5
21031A0139,7.1,25.5
21031A0201,7.55,25.5
21031A0202,6.73,25.5
21031A0203,6.61,25.5
21031A0204,7.35,25.5
21031A0205,9.06,25.5
21031A0206,8.84,25.5
21031A0207,7.47,25.5
21031A0208,7.41,25.5
21031A0209,6.98,25.5
21031A0210,6.8,25.5
21031A0211,6.94,25.5
21031A0212,6.84,25.5
21031A0213,7.94,25.5
21031A0214,7.69,25.5
21031A0215,7.02,25.5
21031A0216,6.55,25.5
21031A0217,0.0,22.5
21031A0218,7.33,25.5
21031A0219,6.82,25.5
21031A0220,0.0,19.5
21031A0221,7.8,25.5
21031A0222,7.8,25.5
21031A0223,7.27,25.5
21031A0224,8.24,25.5
21031A0225,6.78,25.5
21031A0226,6.59,25.5
21031A0227,6.86,25.5
21031A0229,7.04,25.5
21031A0230,8.59,25.5
21031A0232,8.41,25.5
21031A0233,6.96,25.5
21031A0234,7.04,25.5
21031A0236,7.63,25.5
21031A0237,7.27,25.5
21031A0238,7.24,25.5
21031A0239,8.51,25.5
21031A0302,6.82,25.5
21031A0303,7.63,25.5
21031A0304,7.75,25.5
21031A0305,0.0,22.5
21031A0306,7.0,25.5
21031A0307,7.29,25.5
21031A0308,8.12,25.5
21031A0309,7.41,25.5
21031A0310,8.18,25.5
21031A0311,6.71,25.5
21031A0312,0.0,16.5
21031A0313,7.8,25.5
21031A0314,0.0,22.5
21031A0315,6.98,25.5
21031A0316,7.04,25.5
21031A0317,6.98,25.5
21031A0318,7.18,25.5
21031A0319,7.0,25.5
21031A0320,0.0,22.5
21031A0321,0.0,22.5
21031A0322,7.24,25.5
21031A0323,8.59,25.5
21031A0324,7.27,25.5
21031A0325,0.0,22.5
21031A0326,0.0,22.5
21031A0327,7.88,25.5
21031A0328,7.59,25.5
21031A0329,8.0,25.5
21031A0330,0.0,22.5
21031A0401,6.94,25.5
21031A0402,6.94,25.5
21031A0403,7.16,25.5
21031A0404,7.75,25.5
21031A0405,7.1,25.5
21031A0406,6.65,25.5
21031A0407,7.98,25.5
21031A0408,7.8,25.5
21031A0409,7.67,25.5
21031A0410,8.59,25.5
21031A0411,6.96,25.5
21031A0412,8.51,25.5
21031A0413,7.06,25.5
21031A0414,7.18,25.5
21031A0416,7.1,25.5
21031A0417,8.22,25.5
21031A0418,6.61,25.5
21031A0419,6.47,25.5
21031A0420,6.22,25.5
21031A0421,7.8,25.5
21031A0422,6.84,25.5
21031A0423,9.25,25.5
21031A0424,7.2,25.5
21031A0425,6.55,25.5
21031A0426,7.57,25.5
21031A0427,8.14,25.5
21031A0428,0.0,19.5
21031A0429,7.67,25.5
21031A0430,8.06,25.5
21031A0431,6.41,25.5
21031A0433,0.0,22.5
21031A0434,6.8,25.5
21031A0435,7.9,25.5
21031A0436,8.12,25.5
21031A0437,8.45,25.5
21031A0438,6.8,25.5
21031A0439,6.65,25.5
21031A0440,7.02,25.5
21031A0441,9.35,25.5
21031A0442,6.63,25.5
21031A0443,7.04,25.5
21031A0444,7.73,25.5
21031A0445,9.12,25.5
21031A0446,7.12,25.5
21031A0447,8.88,25.5
21031A0448,7.04,25.5
21031A0449,8.08,25.5
21031A0450,7.25,25.5
21031A0451,7.43,25.5
21031A0452,6.53,25.5
21031A0453,6.88,25.5
21031A0454,8.45,25.5
21031A0455,7.22,25.5
21031A0456,7.06,25.5
21031A0457,6.51,25.5
21031A0458,0.0,16.5
21031A0459,7.39,25.5
21031A0460,6.35,25.5
21031A0461,7.14,25.5
21031A0501,6.75,25.5
21031A0502,8.27,25.5
21031A0503,8.06,25.5
21031A0504,6.22,25.5
21031A0505,6.8,25.5
21031A0506,7.59,25.5
21031A0507,8.82,25.5
21031A0508,7.76,25.5
21031A0509,7.57,25.5
21031A0510,0.0,19.5
21031A0511,7.29,25.5
21031A0512,7.35,25.5
21031A0513,8.61,25.5
21031A0514,7.39,25.5
21031A0515,8.49,25.5
21031A0516,7.88,25.5
21031A0517,7.18,25.5
21031A0518,7.18,25.5
21031A0519,8.29,25.5
21031A0520,6.92,25.5
21031A0521,7.12,25.5
21031A0522,8.55,25.5
21031A0523,8.73,25.5
21031A0524,6.27,25.5
21031A0525,0.0,22.5
21031A0526,6.92,25.5
21031A0527,6.57,25.5
21031A0528,6.82,25.5
21031A0529,7.82,25.5
21031A0530,7.33,25.5
21031A0531,8.51,25.5
21031A0532,7.92,25.5
21031A0533,8.33,25.5
21031A0534,8.9,25.5
21031A0535,8.63,25.5
21031A0536,7.84,25.5
21031A0537,9.49,25.5
21031A0538,7.59,25.5
21031A0539,7.0,25.5
21031A0540,7.51,25.5
21031A0541,8.78,25.5
21031A0542,0.0,13.5
21031A0543,6.88,25.5
