ID,Subject Code,Subject  Name,Grade,Credits
22031A0101,R201101,MATHEMATICS - I,E,3
22031A0101,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,C,1.5
22031A0102,R201101,MATHEMATICS - I,D,3
22031A0104,R201101,MATHEMATICS - I,F,0
22031A0104,R201103,ENGINEERING PHYSICS,ABSENT,0
22031A0105,R201101,MATHEMATICS - I,F,0
22031A0106,R201101,MATHEMATICS - I,F,0
22031A0106,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0106,R201103,ENGINEERING PHYSICS,F,0
22031A0106,R201104,ENGINEERING DRAWING,F,0
22031A0108,R201101,MATHEMATICS - I,F,0
22031A0108,R201103,ENGINEERING PHYSICS,F,0
22031A0108,R201104,ENGINEERING DRAWING,F,0
22031A0109,R201101,MATHEMATICS - I,F,0
22031A0109,R201102,COMMUNICATIVE ENGLISH,E,3
22031A0109,R201103,ENGINEERING PHYSICS,F,0
22031A0109,R201104,ENGINEERING DRAWING,E,3
22031A0110,R201101,MATHEMATICS - I,F,0
22031A0110,R201103,ENGINEERING PHYSICS,F,0
22031A0112,R201101,MATHEMATICS - I,F,0
22031A0112,R201103,ENGINEERING PHYSICS,F,0
22031A0112,R201104,ENGINEERING DRAWING,F,0
22031A0114,R201101,MATHEMATICS - I,ABSENT,0
22031A0114,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0114,R201103,ENGINEERING PHYSICS,F,0
22031A0114,R201104,ENGINEERING DRAWING,ABSENT,0
22031A0115,R201101,MATHEMATICS - I,F,0
22031A0115,R201102,COMMUNICATIVE ENGLISH,E,3
22031A0115,R201103,ENGINEERING PHYSICS,E,3
22031A0115,R201104,ENGINEERING DRAWING,F,0
22031A0116,R201104,ENGINEERING DRAWING,F,0
22031A0117,R201101,MATHEMATICS - I,F,0
22031A0117,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0117,R201103,ENGINEERING PHYSICS,F,0
22031A0117,R201104,ENGINEERING DRAWING,F,0
22031A0202,R201101,MATHEMATICS - I,F,0
22031A0202,R201109,MATHEMATICS - II,F,0
22031A0202,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0204,R201101,MATHEMATICS - I,F,0
22031A0204,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0204,R201109,MATHEMATICS - II,F,0
22031A0204,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0205,R201101,MATHEMATICS - I,F,0
22031A0205,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0205,R201109,MATHEMATICS - II,F,0
22031A0207,R201101,MATHEMATICS - I,F,0
22031A0207,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0208,R201101,MATHEMATICS - I,F,0
22031A0209,R201109,MATHEMATICS - II,F,0
22031A0210,R201101,MATHEMATICS - I,F,0
22031A0210,R201111,ENGINEERING DRAWING & DESIGN,F,0
22031A0215,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0219,R201101,MATHEMATICS - I,F,0
22031A0219,R201109,MATHEMATICS - II,F,0
22031A0219,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0219,R201111,ENGINEERING DRAWING & DESIGN,F,0
22031A0222,R201101,MATHEMATICS - I,ABSENT,0
22031A0222,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
22031A0223,R201101,MATHEMATICS - I,F,0
22031A0223,R201109,MATHEMATICS - II,E,3
22031A0223,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0227,R201101,MATHEMATICS - I,F,0
22031A0227,R201109,MATHEMATICS - II,F,0
22031A0227,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0229,R201101,MATHEMATICS - I,F,0
22031A0229,R201111,ENGINEERING DRAWING & DESIGN,F,0
22031A0302,R201101,MATHEMATICS - I,F,0
22031A0302,R201103,ENGINEERING PHYSICS,ABSENT,0
22031A0302,R201104,ENGINEERING DRAWING,ABSENT,0
22031A0302,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
22031A0303,R201101,MATHEMATICS - I,F,0
22031A0304,R201101,MATHEMATICS - I,D,3
22031A0304,R201103,ENGINEERING PHYSICS,D,3
22031A0305,R201101,MATHEMATICS - I,F,0
22031A0306,R201101,MATHEMATICS - I,F,0
22031A0306,R201103,ENGINEERING PHYSICS,F,0
22031A0306,R201104,ENGINEERING DRAWING,F,0
22031A0308,R201101,MATHEMATICS - I,F,0
22031A0308,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0308,R201103,ENGINEERING PHYSICS,F,0
22031A0308,R201104,ENGINEERING DRAWING,F,0
22031A0308,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0309,R201101,MATHEMATICS - I,F,0
22031A0309,R201103,ENGINEERING PHYSICS,F,0
22031A0310,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0311,R201103,ENGINEERING PHYSICS,F,0
22031A0312,R201101,MATHEMATICS - I,F,0
22031A0312,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,C,3
22031A0401,R201115,APPLIED CHEMISTRY,F,0
22031A0402,R201104,ENGINEERING DRAWING,F,0
22031A0402,R201115,APPLIED CHEMISTRY,F,0
22031A0403,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0404,R201115,APPLIED CHEMISTRY,F,0
22031A0405,R201104,ENGINEERING DRAWING,F,0
22031A0405,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0407,R201101,MATHEMATICS - I,ABSENT,0
22031A0407,R201102,COMMUNICATIVE ENGLISH,ABSENT,0
22031A0407,R201104,ENGINEERING DRAWING,ABSENT,0
22031A0407,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,ABSENT,0
22031A0407,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
22031A0407,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,ABSENT,0
22031A0407,R201115,APPLIED CHEMISTRY,ABSENT,0
22031A0407,R201116,APPLIED CHEMISTRY LAB,ABSENT,0
22031A0413,R201101,MATHEMATICS - I,F,0
22031A0415,R201101,MATHEMATICS - I,F,0
22031A0415,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0415,R201115,APPLIED CHEMISTRY,F,0
22031A0417,R201104,ENGINEERING DRAWING,F,0
22031A0417,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,E,1.5
22031A0417,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0417,R201115,APPLIED CHEMISTRY,F,0
22031A0418,R201101,MATHEMATICS - I,F,0
22031A0418,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0418,R201115,APPLIED CHEMISTRY,F,0
22031A0419,R201101,MATHEMATICS - I,F,0
22031A0419,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0422,R201104,ENGINEERING DRAWING,E,3
22031A0422,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0423,R201101,MATHEMATICS - I,F,0
22031A0423,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0423,R201104,ENGINEERING DRAWING,F,0
22031A0423,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0423,R201115,APPLIED CHEMISTRY,F,0
22031A0424,R201101,MATHEMATICS - I,F,0
22031A0425,R201101,MATHEMATICS - I,F,0
22031A0425,R201102,COMMUNICATIVE ENGLISH,E,3
22031A0425,R201115,APPLIED CHEMISTRY,F,0
22031A0426,R201115,APPLIED CHEMISTRY,F,0
22031A0427,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0427,R201115,APPLIED CHEMISTRY,F,0
22031A0429,R201101,MATHEMATICS - I,F,0
22031A0429,R201115,APPLIED CHEMISTRY,F,0
22031A0431,R201101,MATHEMATICS - I,F,0
22031A0431,R201102,COMMUNICATIVE ENGLISH,F,0
22031A0431,R201104,ENGINEERING DRAWING,F,0
22031A0431,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,F,0
22031A0431,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0431,R201115,APPLIED CHEMISTRY,F,0
22031A0432,R201101,MATHEMATICS - I,F,0
22031A0432,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0432,R201115,APPLIED CHEMISTRY,F,0
22031A0434,R201101,MATHEMATICS - I,F,0
22031A0434,R201115,APPLIED CHEMISTRY,F,0
22031A0435,R201101,MATHEMATICS - I,D,3
22031A0435,R201115,APPLIED CHEMISTRY,D,3
22031A0436,R201101,MATHEMATICS - I,F,0
22031A0436,R201104,ENGINEERING DRAWING,D,3
22031A0439,R201101,MATHEMATICS - I,F,0
22031A0439,R201102,COMMUNICATIVE ENGLISH,F,0
