ID,Subject Code,Subject Name,Grade,Credits
22031A0218,204102HB,SMART GRID TECHNOLOGIES,E,3
22031A0406,204105MA,SOFTWARE ENGINEERING(INTEGRATED),D,3
22031A0408,204105MA,SOFTWARE ENGINEERING(INTEGRATED),D,3
22031A0453,204105MA,SOFTWARE ENGINEERING(INTEGRATED),E,3
22031A0457,204105MA,SOFTWARE ENGINEERING(INTEGRATED),E,3
22031A0506,204105HD,REINFORCEMENT LEARNING,D,4
22031A0510,204105HW,MEDICAL IMAGE DATA PROCESSING,F,0
22031A0521,204105HW,MEDICAL IMAGE DATA PROCESSING,F,0
22031A0524,204104MD,SIGNAL ANALYSIS,E,4
22031A0527,204105HW,MEDICAL IMAGE DATA PROCESSING,D,4
22031A0536,204105HW,MEDICAL IMAGE DATA PROCESSING,E,4
22031A0543,204105HD,REINFORCEMENT LEARNING,D,4
22031A0544,204104MD,SIGNAL ANALYSIS,C,4
22031A0546,204105HD,REINFORCEMENT LEARNING,C,4
22031A0548,204105HD,REINFORCEMENT LEARNING,D,4
22031A0552,204105HD,REINFORCEMENT LEARNING,E,4
23035A0202,204102HB,SMART GRID TECHNOLOGIES,D,3
23035A0215,204102HB,SMART GRID TECHNOLOGIES,D,3
23035A0231,204102HB,SMART GRID TECHNOLOGIES,E,3
23035A0233,204102HB,SMART GRID TECHNOLOGIES,D,3
23035A0322,204103HE,MATERIALS TECHNOLOGY,C,3
23035A0325,204103HE,MATERIALS TECHNOLOGY,ABSENT,0
23035A0331,204103HE,MATERIALS TECHNOLOGY,C,3
23035A0334,204103HE,MATERIALS TECHNOLOGY,C,3
23035A0346,204103HE,MATERIALS TECHNOLOGY,C,3
23035A0501,204105HG,SERVICE ORIENTED ARCHITECTURES,D,3
23035A0502,204104MD,SIGNAL ANALYSIS,E,4
