ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24031A0101,0.0,8.5,0.0,10.5,0.0,17.0,36.0,0.0,*
24031A0102,0.0,5.5,0.0,4.5,0.0,8.0,18.0,0.0,*
24031A0103,7.66,20.5,7.38,19.5,8.07,20.0,60.0,7.71,*
24031A0104,5.78,20.5,6.31,19.5,6.45,20.0,60.0,6.18,
24031A0105,6.71,20.5,0.0,13.5,0.0,17.0,51.0,0.0,
24031A0106,6.63,20.5,6.97,19.5,6.75,20.0,60.0,6.78,
24031A0108,0.0,14.5,0.0,10.5,6.0,20.0,45.0,0.0,*
24031A0109,0.0,11.5,0.0,7.5,0.0,14.0,33.0,0.0,*
24031A0110,0.0,17.5,,,,,17.5,0.0,
24031A0111,0.0,17.5,0.0,16.5,0.0,17.0,51.0,0.0,*
24031A0112,7.49,20.5,7.67,19.5,7.75,20.0,60.0,7.64,
24031A0113,0.0,11.5,0.0,10.5,0.0,11.0,33.0,0.0,*
24031A0115,0.0,8.5,0.0,7.5,0.0,8.0,24.0,0.0,*
24031A0116,6.22,20.5,6.74,19.5,6.6,20.0,60.0,6.52,*
24031A0117,7.61,20.5,8.13,19.5,8.57,20.0,60.0,8.1,*
24031A0118,0.0,14.5,0.0,10.5,0.0,11.0,36.0,0.0,*
24031A0119,6.12,20.5,0.0,10.5,0.0,14.0,45.0,0.0,*
24031A0120,0.0,14.5,0.0,10.5,0.0,14.0,39.0,0.0,*
24031A0121,0.0,17.5,0.0,5.5,0.0,11.0,34.0,0.0,*
24031A0122,0.0,5.5,,,,,5.5,0.0,
24031A0123,0.0,19.0,0.0,16.5,7.22,20.0,55.5,0.0,
24031A0125,0.0,4.0,0.0,7.5,0.0,14.0,25.5,0.0,*
24031A0126,0.0,17.5,0.0,13.5,0.0,17.0,48.0,0.0,*
24031A0128,7.76,20.5,8.1,19.5,0.0,17.0,57.0,0.0,*
24031A0129,0.0,17.5,0.0,13.5,6.52,20.0,51.0,0.0,*
24031A0130,0.0,17.5,0.0,10.5,0.0,17.0,45.0,0.0,*
24031A0131,0.0,14.5,0.0,5.5,0.0,0.0,20.0,0.0,*
24031A0132,6.2,20.5,5.82,19.5,6.82,20.0,60.0,6.28,*
24031A0133,0.0,17.5,0.0,16.5,0.0,14.0,48.0,0.0,*
24031A0134,0.0,8.5,0.0,6.5,0.0,14.0,29.0,0.0,*
24031A0135,0.0,17.5,6.36,19.5,6.82,20.0,57.0,0.0,*
24031A0136,7.32,20.5,7.31,19.5,7.72,20.0,60.0,7.45,
24031A0137,6.49,20.5,6.64,19.5,6.52,20.0,60.0,6.55,
24031A0201,0.0,16.5,0.0,14.5,0.0,17.0,48.0,0.0,*
24031A0202,0.0,7.5,0.0,7.0,0.0,3.5,18.0,0.0,
24031A0203,7.1,19.5,7.2,20.5,6.7,20.0,60.0,7.0,
24031A0204,0.0,13.5,0.0,5.5,0.0,17.0,36.0,0.0,*
24031A0205,0.0,16.5,0.0,16.0,0.0,17.0,49.5,0.0,*
24031A0206,0.0,13.5,0.0,5.5,0.0,17.0,36.0,0.0,*
24031A0207,6.92,19.5,0.0,17.5,6.88,20.0,57.0,0.0,
24031A0208,0.0,16.5,0.0,14.5,0.0,17.0,48.0,0.0,*
24031A0209,6.56,19.5,6.66,20.5,0.0,11.0,51.0,0.0,
24031A0210,0.0,16.5,0.0,13.0,5.9,20.0,49.5,0.0,*
24031A0211,0.0,10.5,,,,,10.5,0.0,
24031A0212,0.0,4.5,,,,,4.5,0.0,
24031A0213,6.36,19.5,0.0,17.5,0.0,17.0,54.0,0.0,
24031A0214,0.0,16.5,0.0,10.0,0.0,18.5,45.0,0.0,*
24031A0215,6.79,19.5,0.0,11.5,5.98,20.0,51.0,0.0,
24031A0216,6.44,19.5,0.0,17.5,0.0,18.5,55.5,0.0,
24031A0217,0.0,3.5,,,,,3.5,0.0,
24031A0218,0.0,16.5,0.0,2.5,0.0,8.0,27.0,0.0,*
24031A0219,6.46,19.5,0.0,14.5,0.0,17.0,51.0,0.0,
24031A0220,7.44,19.5,8.34,20.5,7.65,20.0,60.0,7.82,
24031A0221,0.0,16.5,0.0,11.5,0.0,18.5,46.5,0.0,*
24031A0222,7.23,19.5,0.0,17.5,7.28,20.0,57.0,0.0,
24031A0223,7.97,19.5,7.29,20.5,7.6,20.0,60.0,7.61,
24031A0224,0.0,16.5,6.44,20.5,6.68,20.0,57.0,0.0,*
24031A0225,0.0,15.5,,,,,15.5,0.0,
24031A0226,7.9,19.5,7.39,20.5,7.2,20.0,60.0,7.49,*
24031A0227,0.0,16.5,0.0,11.5,0.0,17.0,45.0,0.0,
24031A0228,6.41,19.5,0.0,8.5,6.52,20.0,48.0,0.0,
24031A0229,7.74,19.5,8.07,20.5,8.25,20.0,60.0,8.02,
24031A0230,7.59,19.5,7.15,20.5,0.0,17.0,57.0,0.0,
24031A0231,6.95,19.5,7.1,20.5,7.32,20.0,60.0,7.12,
24031A0232,0.0,16.5,0.0,7.0,0.0,17.0,40.5,0.0,*
24031A0234,5.9,19.5,0.0,19.0,6.45,20.0,58.5,0.0,
24031A0235,0.0,16.5,0.0,10.0,0.0,15.5,42.0,0.0,
24031A0236,7.82,19.5,0.0,17.5,7.88,20.0,57.0,0.0,
24031A0237,0.0,13.5,0.0,2.5,0.0,12.5,28.5,0.0,*
24031A0239,6.77,19.5,6.46,20.5,6.35,20.0,60.0,6.52,
24031A0240,7.54,19.5,8.07,20.5,6.72,20.0,60.0,7.45,
24031A0241,8.05,19.5,7.68,20.5,8.18,20.0,60.0,7.97,
24031A0242,0.0,16.5,0.0,11.5,7.15,20.0,48.0,0.0,*
24031A0243,0.0,16.5,0.0,14.5,6.28,20.0,51.0,0.0,
24031A0244,0.0,13.5,0.0,5.5,0.0,12.5,31.5,0.0,*
24031A0245,7.62,19.5,0.0,17.5,6.48,20.0,57.0,0.0,
24031A0246,0.0,18.0,0.0,2.0,0.0,9.0,29.0,0.0,
24031A0247,7.18,19.5,7.2,20.5,7.5,20.0,60.0,7.29,*
24031A0248,0.0,13.5,0.0,13.0,0.0,5.0,31.5,0.0,*
24031A0249,0.0,10.5,0.0,2.5,0.0,0.0,13.0,0.0,*
24031A0250,7.95,19.5,7.27,20.5,7.22,20.0,60.0,7.47,
24031A0251,0.0,14.5,0.0,14.5,0.0,17.0,46.0,0.0,*
24031A0252,6.82,19.5,0.0,17.5,6.35,20.0,57.0,0.0,
24031A0254,0.0,10.5,0.0,11.5,0.0,14.0,36.0,0.0,*
24031A0255,0.0,16.5,0.0,13.0,6.9,20.0,49.5,0.0,*
24031A0256,6.85,19.5,7.56,20.5,0.0,17.0,57.0,0.0,
24031A0302,7.07,20.5,6.85,19.5,7.0,20.0,60.0,6.98,
24031A0303,0.0,8.5,0.0,13.5,0.0,9.0,31.0,0.0,*
24031A0304,6.93,20.5,0.0,13.5,7.75,20.0,54.0,0.0,
24031A0305,0.0,17.5,7.82,19.5,8.5,20.0,57.0,0.0,*
24031A0306,0.0,17.5,0.0,7.5,0.0,17.0,42.0,0.0,*
24031A0307,6.34,20.5,7.56,19.5,8.25,20.0,60.0,7.37,
24031A0308,0.0,11.5,0.0,10.5,0.0,18.0,40.0,0.0,*
24031A0309,0.0,14.5,0.0,10.5,6.12,20.0,45.0,0.0,*
24031A0310,0.0,14.5,0.0,16.5,0.0,17.0,48.0,0.0,*
24031A0311,7.9,20.5,0.0,16.5,8.1,20.0,57.0,0.0,
24031A0312,6.73,20.5,6.77,19.5,6.82,20.0,60.0,6.77,
24031A0313,0.0,11.5,0.0,7.5,0.0,14.0,33.0,0.0,*
