ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
25031A0101,7.95,20.5,,,,,,,,,,,,,,,20.5,7.95,
25031A0102,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0103,9.41,20.5,,,,,,,,,,,,,,,20.5,9.41,
25031A0104,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,
25031A0105,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0106,0.0,7.0,,,,,,,,,,,,,,,7.0,0.0,
25031A0107,7.02,20.5,,,,,,,,,,,,,,,20.5,7.02,
25031A0108,0.0,7.0,,,,,,,,,,,,,,,7.0,0.0,
25031A0109,0.0,10.0,,,,,,,,,,,,,,,10.0,0.0,
25031A0110,0.0,5.5,,,,,,,,,,,,,,,5.5,0.0,
25031A0111,0.0,19.0,,,,,,,,,,,,,,,19.0,0.0,
25031A0112,8.24,20.5,,,,,,,,,,,,,,,20.5,8.24,
25031A0113,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0114,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0115,7.02,20.5,,,,,,,,,,,,,,,20.5,7.02,
25031A0116,8.17,20.5,,,,,,,,,,,,,,,20.5,8.17,
25031A0117,7.32,20.5,,,,,,,,,,,,,,,20.5,7.32,
25031A0118,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0119,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0120,7.05,20.5,,,,,,,,,,,,,,,20.5,7.05,
25031A0121,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0122,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0123,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0124,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0125,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0126,0.0,4.0,,,,,,,,,,,,,,,4.0,0.0,
25031A0127,0.0,13.0,,,,,,,,,,,,,,,13.0,0.0,
25031A0128,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0129,7.49,20.5,,,,,,,,,,,,,,,20.5,7.49,
25031A0130,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0131,0.0,19.0,,,,,,,,,,,,,,,19.0,0.0,
25031A0201,0.0,13.5,,,,,,,,,,,,,,,13.5,0.0,
25031A0202,8.26,19.5,,,,,,,,,,,,,,,19.5,8.26,
25031A0203,6.05,19.5,,,,,,,,,,,,,,,19.5,6.05,
25031A0204,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0205,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0206,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0207,0.0,5.5,,,,,,,,,,,,,,,5.5,0.0,
25031A0208,6.62,19.5,,,,,,,,,,,,,,,19.5,6.62,
25031A0209,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0210,8.82,19.5,,,,,,,,,,,,,,,19.5,8.82,
25031A0211,6.9,19.5,,,,,,,,,,,,,,,19.5,6.9,
25031A0212,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0213,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0214,6.95,19.5,,,,,,,,,,,,,,,19.5,6.95,
25031A0215,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0216,8.38,19.5,,,,,,,,,,,,,,,19.5,8.38,
25031A0217,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0218,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0219,8.36,19.5,,,,,,,,,,,,,,,19.5,8.36,
25031A0220,8.51,19.5,,,,,,,,,,,,,,,19.5,8.51,
25031A0221,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0222,7.95,19.5,,,,,,,,,,,,,,,19.5,7.95,
25031A0223,7.03,19.5,,,,,,,,,,,,,,,19.5,7.03,
25031A0225,0.0,13.5,,,,,,,,,,,,,,,13.5,0.0,
25031A0226,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0227,0.0,4.5,,,,,,,,,,,,,,,4.5,0.0,
25031A0228,7.95,19.5,,,,,,,,,,,,,,,19.5,7.95,
