ID,Subject Code,Subject Name,Grade,Credits
22031A0101,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0101,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0101,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,B,3
22031A0101,R204101D,URBAN TRANSPORTATION PLANNING,C,3
22031A0101,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0101,R204101K,URBAN HYDROLOGY,C,3
22031A0101,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,D,3
22031A0101,R204105Z,INTRODUCTION TO MACHINE LEARNING,C,3
22031A0102,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0102,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0102,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,B,3
22031A0102,R204101D,URBAN TRANSPORTATION PLANNING,D,3
22031A0102,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0102,R204101K,URBAN HYDROLOGY,C,3
22031A0102,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,C,3
22031A0102,R204105Z,INTRODUCTION TO MACHINE LEARNING,C,3
22031A0104,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,D,3
22031A0104,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0104,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,B,3
22031A0104,R204101D,URBAN TRANSPORTATION PLANNING,D,3
22031A0104,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0104,R204101K,URBAN HYDROLOGY,D,3
22031A0104,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,E,3
22031A0104,R204105Z,INTRODUCTION TO MACHINE LEARNING,E,3
22031A0105,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0105,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0105,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,A,3
22031A0105,R204101D,URBAN TRANSPORTATION PLANNING,D,3
22031A0105,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0105,R204101K,URBAN HYDROLOGY,B,3
22031A0105,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,C,3
22031A0105,R204105Z,INTRODUCTION TO MACHINE LEARNING,E,3
22031A0106,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0106,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0106,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,A,3
22031A0106,R204101D,URBAN TRANSPORTATION PLANNING,D,3
22031A0106,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0106,R204101K,URBAN HYDROLOGY,C,3
22031A0106,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,E,3
22031A0106,R204105Z,INTRODUCTION TO MACHINE LEARNING,F,0
22031A0107,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0107,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0107,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,A,3
22031A0107,R204101D,URBAN TRANSPORTATION PLANNING,D,3
22031A0107,R204101G,DISASTER MANAGEMENT & MITIGATION,D,3
22031A0107,R204101K,URBAN HYDROLOGY,B,3
22031A0107,R204104K,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,D,3
22031A0107,R204105Z,INTRODUCTION TO MACHINE LEARNING,D,3
22031A0108,R2041011,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,E,3
22031A0108,R2041013,SKILL ADVANCED COURSE/SOFT SKILL COURSE,A+,2
22031A0108,R2041014,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,B,3
22031A0108,R204101D,URBAN TRANSPORTATION PLANNING,C,3
22031A0108,R204101G,DISASTER MANAGEMENT & MITIGATION,C,3
22031A0108,R204101K,URBAN HYDROLOGY,B,3
